영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
유어 프렌즈,72.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 0%, 20대 47%, 30대 30%, 40대 16%, 50대 7%","감독 맥스 조셉, 웨스 벤틀리, 존 번탈, 알렉스 샤퍼, 실로 페르난데즈",OST가 명곡인 몰입하여 보게 되는 영화,844
돈 룩 업,93.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 3%, 20대 25%, 30대 31%, 40대 22%, 50대 20%","감독 애덤 매케이, 스콧 메스쿠디, 토머 시슬리, 히메쉬 파텔, 레오나르도 디카프리오, 케이트 블란쳇",배우연기가 메소드급인 몰입하여 보게 되는 영화,6187
도쿄 리벤저스,91.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 13%, 20대 39%, 30대 19%, 40대 18%, 50대 12%","감독 하나부사 츠토무, 키타무라 타쿠미, 야마다 유키, 이소무라 하야토, 요시자와 료, 마미야 쇼타로",배우연기가 메소드급인 몰입하여 보게 되는 영화,549
비트,,,,"주니어 싱고, 감독 데이빗 힉슨",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
몬스타엑스 : 더 드리밍,99.0,"성별예매 분포: 남 2%, 여 98%","연령별예매 분포: 10대 16%, 20대 59%, 30대 18%, 40대 5%, 50대 2%",,배우연기가 메소드급인 감동적인 영화,1742
기억의 시간,0.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 9%, 20대 58%, 30대 20%, 40대 8%, 50대 6%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,36
레이징 파이어,93.0,"성별예매 분포: 남 81%, 여 19%","연령별예매 분포: 10대 0%, 20대 7%, 30대 25%, 40대 31%, 50대 38%","감독 진목승, 견자단, 사정봉",배우연기가 메소드급인 스트레스가 해소되는 영화,206
FIWOM2021 폐막식,,"성별예매 분포: 남 17%, 여 83%","연령별예매 분포: 10대 0%, 20대 83%, 30대 0%, 40대 17%, 50대 0%",,,0
어미,,,,"소피 마르소, 감독 얀 사뮤엘",배우연기가 메소드급인 몰입하여 보게 되는 영화,2
FIWOM2021 개막식,0.0,,,,OST가 명곡인 영감을 주는 영화,1
스카이파이어,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 사이먼 웨스트, 쿤링, 왕학기, 제이슨 아이삭스",,0
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,93.0,"성별예매 분포: 남 79%, 여 21%","연령별예매 분포: 10대 19%, 20대 46%, 30대 16%, 40대 12%, 50대 7%","감독 카와노 아야코, 마츠오카 요시츠구, 토마츠 하루카, 미나세 이노리",영상미가 뛰어나고 몰입하여 보게 되는 영화,1534
FIWOM2021 미용실 대선 토론 외,0.0,,,,배우연기가 메소드급인 몰입하여 보게 되는 영화,2
FIWOM2021 피움초이스6,0.0,,,,배우연기가 메소드급인 감동적인 영화,1
FIWOM2021 코로나-19를 지내는 33번째 방법 외,,,,,,0
FIWOM2021 피움초이스2,0.0,,,,배우연기가 메소드급인 공감되는 영화,2
누가 인간인가,,,,,,0
오션스 트웰브,0.0,,,"감독 스티븐 소더버그, 스티븐 소더버그, 줄리아 로버츠, 앤디 가르시아, 조지 클루니",배우연기가 메소드급인 스트레스가 해소되는 영화,575
FIWOM2021 피움초이스1,,,,,,0
FIWOM2021 마이 엉클 외,,,,,,0
푸시,0.0,,,"감독 폴 맥기건, 다코타 패닝, 카밀라 벨르, 크리스 에반스",스토리가 탄탄하고 스트레스가 해소되는 영화,466
FIWOM2021 피움초이스7,,,,,,0
FIWOM2021 피움초이스4,,,,,,0
착한 여자에겐 일어나지 않는 일,,,,,,0
로테 초라! 무장 조직을 만든 여성들,0.0,,,,스토리가 탄탄하고 공감되는 영화,1
FIWOM2021 피움초이스5,,,,,,0
FIWOM2021 피움초이스3,,,,,,0
여성 병역 거부자,,,,,,0
그래서 그랬죠,,,,,,0
라라와 크리스마스 요정,0.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 2%, 20대 3%, 30대 46%, 40대 46%, 50대 4%","헨리에트 파예슈죌, 감독 윌 아슈르스트",영상미가 뛰어나고 상상력을 자극하는 영화,21
엔드리스,0.0,"성별예매 분포: 남 52%, 여 48%","연령별예매 분포: 10대 2%, 20대 12%, 30대 25%, 40대 26%, 50대 35%","감독 스콧 스피어, 팜케 얀센, 데론 호튼, 알렉산드라 쉽, 니콜라스 해밀턴",스토리가 탄탄하고 감동적인 영화,74
특송,93.0,,"연령별예매 분포: 10대 3%, 20대 25%, 30대 26%, 40대 25%, 50대 21%","감독 박대민, 허동원, 김의성, 송새벽, 한현민",배우연기가 메소드급인 몰입하여 보게 되는 영화,11136
