영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
SIFF2023-단편경쟁5,0.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 3%, 20대 48%, 30대 40%, 40대 6%, 50대 4%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,8
SIFF2023-페스티벌초이스 단편4,0.0,"성별예매 분포: 남 21%, 여 79%","연령별예매 분포: 10대 1%, 20대 52%, 30대 32%, 40대 12%, 50대 2%",,스토리가 탄탄하고 영감을 주는 영화,5
SIFF2023-로컬시네마3,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%",,,0
샤인,0.0,,,"감독 조나단 데이턴, 감독 발레리 페리스, 스티브 카렐, 그렉 키니어, 토니 콜렛",배우연기가 메소드급인 감동적인 영화,0
나의 올드 오크,96.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 1%, 20대 17%, 30대 33%, 40대 26%, 50대 23%","감독 켄 로치, 에블라 마리, 데이브 터너",배우연기가 메소드급인 몰입하여 보게 되는 영화,1627
SIFF2023-로컬시네마1,0.0,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 4%, 20대 49%, 30대 30%, 40대 14%, 50대 3%",,감독연출가 훌륭하고 몰입하여 보게 되는 영화,4
청춘,0.0,,,"감독 이한, 김하늘, 이상우, 박지빈, 장미인애",배우연기가 메소드급인 몰입하여 보게 되는 영화,706
코리안 블랙 아이즈,0.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 2%, 20대 37%, 30대 29%, 40대 7%, 50대 25%",감독 김대현,OST가 명곡인 감동적인 영화,4
오월의 눈,0.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 3%, 20대 53%, 30대 26%, 40대 7%, 50대 12%",감독 총 킷 옹,스토리가 탄탄하고 몰입하여 보게 되는 영화,11
목소리들,,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 1%, 20대 31%, 30대 63%, 40대 3%, 50대 3%",감독 권민표,,0
SIFF2023-단편경쟁2,0.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 2%, 20대 48%, 30대 31%, 40대 12%, 50대 6%",,배우연기가 메소드급인 감동적인 영화,6
청년정치백서-쇼미더저스티스,0.0,"성별예매 분포: 남 26%, 여 74%","연령별예매 분포: 10대 1%, 20대 48%, 30대 36%, 40대 7%, 50대 8%",감독 이일하,스토리가 탄탄하고 영감을 주는 영화,4
덤 머니,95.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 1%, 20대 15%, 30대 31%, 40대 26%, 50대 27%","감독 크레이그 길레스피, 빈센트 도노프리오, 닉 오퍼맨, 데인 드한, 세바스찬 스탠, 앤서니 라모스",스토리가 탄탄하고 몰입하여 보게 되는 영화,3833
위험사회,0.0,,,감독 김병준,스토리가 탄탄하고 몰입하여 보게 되는 영화,8
사랑의 탐구,0.0,"성별예매 분포: 남 44%, 여 56%","연령별예매 분포: 10대 0%, 20대 24%, 30대 38%, 40대 24%, 50대 14%","마갈리 레핀 블롱도, 감독 모니아 쇼크리",배우연기가 메소드급인 몰입하여 보게 되는 영화,9
미끼,0.0,"성별예매 분포: 남 77%, 여 23%","연령별예매 분포: 10대 1%, 20대 10%, 30대 21%, 40대 38%, 50대 30%","감독 윤권수, 배유람, 송재림, 백진희",스토리가 탄탄하고 공감되는 영화,39
SIFF2023-로컬시네마2,0.0,"성별예매 분포: 남 27%, 여 73%","연령별예매 분포: 10대 1%, 20대 67%, 30대 20%, 40대 6%, 50대 6%",,배우연기가 메소드급인 감동적인 영화,3
SIFF2023-페스티벌초이스 단편5,0.0,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 4%, 20대 53%, 30대 29%, 40대 7%, 50대 7%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,4
악은 존재하지 않는다,0.0,"성별예매 분포: 남 57%, 여 43%","연령별예매 분포: 10대 3%, 20대 57%, 30대 28%, 40대 8%, 50대 5%",감독 하마구치 류스케,감독연출가 훌륭하고 몰입하여 보게 되는 영화,30
엘리자벳과 나,92.0,"성별예매 분포: 남 24%, 여 76%","연령별예매 분포: 10대 3%, 20대 25%, 30대 32%, 40대 20%, 50대 20%","감독 프라우케 핀스터발더, 수잔네 볼프, 산드라 휠러",배우연기가 메소드급인 몰입하여 보게 되는 영화,255
당신을 오랫동안 사랑했어요,,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 0%, 20대 30%, 30대 33%, 40대 20%, 50대 17%","감독 필립 클로델, 크리스틴 스콧 토마스, 세르주 하자나비시우스, 엘자 질버스테인, 로랑 그레빌",배우연기가 메소드급인 몰입하여 보게 되는 영화,19
SIFF2023-페스티벌초이스 단편2,0.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 3%, 20대 46%, 30대 35%, 40대 14%, 50대 2%",,감독연출가 훌륭하고 몰입하여 보게 되는 영화,6
말하고 싶은 비밀,87.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 30%, 20대 22%, 30대 14%, 40대 19%, 50대 15%","감독 타케무라 켄타로, 사쿠라다 히요리, 타카하시 후미야",배우연기가 메소드급인 몰입하여 보게 되는 영화,3724
언더 유어 베드,65.0,"성별예매 분포: 남 56%, 여 44%","연령별예매 분포: 10대 0%, 20대 10%, 30대 26%, 40대 32%, 50대 33%","감독 사부, 이윤우, 이지훈, 신수항",배우연기가 메소드급인 몰입하여 보게 되는 영화,1267
마다가스카르 뮤직,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 정초신, 장태화, 신미식",,0
렛 미 고,,,,"감독 마크 로마넥, 앤드류 가필드, 캐리 멀리건, 키이라 나이틀리",배우연기가 메소드급인 몰입하여 보게 되는 영화,24
무빙 포 워드,,"성별예매 분포: 남 16%, 여 84%","연령별예매 분포: 10대 15%, 20대 62%, 30대 11%, 40대 7%, 50대 6%",,OST가 명곡인 기분이 좋아지는 영화,15
인디애니씨어터 with 애니메이션 어워즈 새로운 발견,,"성별예매 분포: 남 21%, 여 79%","연령별예매 분포: 10대 0%, 20대 74%, 30대 5%, 40대 21%, 50대 0%",,,0
인디애니씨어터 with 애니메이션 어워즈 스튜디오 특별전,,"성별예매 분포: 남 11%, 여 89%","연령별예매 분포: 10대 0%, 20대 53%, 30대 26%, 40대 21%, 50대 0%",,,0
고통,,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 33%, 20대 33%, 30대 33%, 40대 0%, 50대 0%",,,0
팔월,0.0,,,"감독 이진우, 오정세, 양은용, 임형국",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
인디애니씨어터 with 애니메이션 어워즈2,0.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 4%, 20대 52%, 30대 16%, 40대 24%, 50대 4%",,스토리가 탄탄하고 몰입하여 보게 되는 영화,1
인디애니씨어터 with 애니메이션 어워즈1,0.0,"성별예매 분포: 남 23%, 여 77%","연령별예매 분포: 10대 5%, 20대 50%, 30대 14%, 40대 27%, 50대 5%",,스토리가 탄탄하고 몰입하여 보게 되는 영화,2
인디애니씨어터 with 애니메이션 어워즈3,0.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 5%, 20대 36%, 30대 23%, 40대 32%, 50대 5%",,스토리가 탄탄하고 감동적인 영화,1
"제12회 스토리업 쇼츠 섹션1. 지은이, 옮긴이, 엮은이",0.0,,,,배우연기가 메소드급인 몰입하여 보게 되는 영화,3
신세계로부터,85.0,"성별예매 분포: 남 52%, 여 48%","연령별예매 분포: 10대 1%, 20대 10%, 30대 26%, 40대 30%, 50대 32%","감독 최정민, 김재록, 신나래, 정하담, 명채미",배우연기가 메소드급인 몰입하여 보게 되는 영화,1312
인게이지먼트,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 장 피에르 주네, 오드리 토투, 클로비스 코르니악, 장 삐에르 베커, 도미니크 베텐펠드, 가스파르 울리엘",배우연기가 메소드급인 감동적인 영화,38
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,95.0,,"연령별예매 분포: 10대 13%, 20대 28%, 30대 23%, 40대 30%, 50대 6%",감독 오네 히토시,스토리가 탄탄하고 유쾌한 영화,6797
열 개의 우물,0.0,"성별예매 분포: 남 17%, 여 83%","연령별예매 분포: 10대 1%, 20대 29%, 30대 38%, 40대 18%, 50대 14%",감독 김미례,스토리가 탄탄하고 몰입하여 보게 되는 영화,2
라스트 썸머,80.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 0%, 20대 12%, 30대 29%, 40대 27%, 50대 33%","감독 카트린느 브레이야, 올리비에 라보르딘, 레아 드루커",배우연기가 메소드급인 몰입하여 보게 되는 영화,1384
퐁네프의 연인들,0.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 1%, 20대 53%, 30대 32%, 40대 9%, 50대 6%","감독 레오스 카락스, 클라우스 미첼 그루버, 줄리엣 비노쉬, 드니 라방",배우연기가 메소드급인 몰입하여 보게 되는 영화,343
길위에 김대중,99.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 1%, 20대 6%, 30대 16%, 40대 32%, 50대 46%","김대중, 감독 민환기",스토리가 탄탄하고 감동적인 영화,1915
아쿠아맨과 로스트 킹덤,89.0,,,"감독 제임스 완, 니콜 키드먼, 야히아 압둘 마틴 2세, 제이슨 모모아, 앰버 허드",영상미가 뛰어나고 스트레스가 해소되는 영화,0
르네상스 필름 바이 비욘세,94.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 2%, 20대 39%, 30대 43%, 40대 8%, 50대 7%",,영상미가 뛰어나고 유쾌한 영화,189
위시,0.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 2%, 20대 5%, 30대 61%, 40대 31%, 50대 0%",,스토리가 탄탄하고 상상력을 자극하는 영화,153
르네에게,0.0,"성별예매 분포: 남 68%, 여 32%","연령별예매 분포: 10대 0%, 20대 19%, 30대 30%, 40대 35%, 50대 16%","감독 강승원, 오정훈, 주인영",OST가 명곡인 몰입하여 보게 되는 영화,62
인투 더 월드,98.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 3%, 20대 8%, 30대 25%, 40대 56%, 50대 9%","감독 벤자민 레너, 캐롤 케인, 아콰피나, 키건 마이클 키, 쿠마일 난지아니, 엘리자베스 뱅크스",영상미가 뛰어나고 유쾌한 영화,2707
찬란한 내일로,90.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 1%, 20대 22%, 30대 33%, 40대 20%, 50대 24%","감독 난니 모레티, 난니 모레티, 마거리타 부이, 실비오 올랜도, 마티유 아말릭",배우연기가 메소드급인 기분이 좋아지는 영화,432
외계+인 2부,92.0,,,"감독 최동훈, 신정근, 윤경호, 이시훈, 염정아",배우연기가 메소드급인 영감을 주는 영화,0
간신의 피,0.0,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 0%, 20대 6%, 30대 29%, 40대 35%, 50대 29%","감독 권하, 기주봉, 김다솔, 송길호, 현리원",배우연기가 메소드급인 몰입하여 보게 되는 영화,17
"주사위놀이, 마불 세계여행",0.0,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 50%, 50대 30%",감독 이광범,스토리가 탄탄하고 감동적인 영화,1
썬 오브 람세스,0.0,"성별예매 분포: 남 72%, 여 28%","연령별예매 분포: 10대 0%, 20대 15%, 30대 26%, 40대 27%, 50대 32%","카림 레클루, 감독 클레멘트 코지토레",스토리가 탄탄하고 몰입하여 보게 되는 영화,20
도그맨,92.0,"성별예매 분포: 남 44%, 여 56%","연령별예매 분포: 10대 2%, 20대 16%, 30대 25%, 40대 27%, 50대 30%","감독 뤽 베송, 조조 T. 깁스, 케일럽 랜드리 존스",배우연기가 메소드급인 몰입하여 보게 되는 영화,3967
지오디 마스터피스 더 무비,99.0,"성별예매 분포: 남 6%, 여 94%","연령별예매 분포: 10대 0%, 20대 4%, 30대 83%, 40대 10%, 50대 3%",감독 오정민,영상미가 뛰어나고 감동적인 영화,2082
넥스트 골 윈즈,93.0,"성별예매 분포: 남 56%, 여 44%","연령별예매 분포: 10대 1%, 20대 18%, 30대 34%, 40대 25%, 50대 22%","감독 타이카 와이티티, 오스카 카이틀리, 마이클 패스벤더",스토리가 탄탄하고 유쾌한 영화,694
소녀는 졸업하지 않는다,94.0,"성별예매 분포: 남 66%, 여 34%","연령별예매 분포: 10대 2%, 20대 22%, 30대 32%, 40대 22%, 50대 22%",감독 나카가와 슌,배우연기가 메소드급인 몰입하여 보게 되는 영화,271
나쁜 피,80.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 5%, 20대 38%, 30대 25%, 40대 18%, 50대 14%","감독 레오스 카락스, 줄리엣 비노쉬, 미셸 피콜리, 드니 라방",배우연기가 메소드급인 몰입하여 보게 되는 영화,59
시민덕희,96.0,,,"감독 박영주, 정지호, 공명, 라미란, 안은진",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
건국전쟁,99.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 0%, 20대 9%, 30대 22%, 40대 24%, 50대 23%","감독 김덕영, 브라이언 마이어스, 김영중, 마이클 브린",스토리가 탄탄하고 몰입하여 보게 되는 영화,37
추락의 해부,96.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 2%, 20대 33%, 30대 35%, 40대 17%, 50대 14%","감독 쥐스틴 트리에, 밀로 마차도 그라너, 스완 아를로, 산드라 휠러",배우연기가 메소드급인 몰입하여 보게 되는 영화,4287
웡카,95.0,,,"감독 폴 킹, 휴 그랜트, 샐리 호킨스, 톰 데이비스, 티모시 샬라메",,0
아가일,82.0,"성별예매 분포: 남 54%, 여 46%","연령별예매 분포: 10대 2%, 20대 19%, 30대 32%, 40대 26%, 50대 21%","감독 매튜 본, 사무엘 L. 잭슨, 브라이언 크랜스톤, 캐서린 오하라, 두아 리파, 브라이스 달라스 하워드",영상미가 뛰어나고 기분이 좋아지는 영화,4886
울산의 별,96.0,"성별예매 분포: 남 70%, 여 30%","연령별예매 분포: 10대 0%, 20대 12%, 30대 28%, 40대 27%, 50대 33%","감독 정기혁, 변중희, 김금순, 임형태, 장민영",배우연기가 메소드급인 몰입하여 보게 되는 영화,149
걸즈 앤 판처 최종장 제4화,96.0,"성별예매 분포: 남 87%, 여 13%","연령별예매 분포: 10대 3%, 20대 30%, 30대 38%, 40대 17%, 50대 12%","감독 미즈시마 츠토무, 후치가미 마이, 카야노 아이, 후쿠엔 미사토, 오자키 마미, 나카가미 이쿠미",영상미가 뛰어나고 몰입하여 보게 되는 영화,769
비욘드 유토피아,97.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 1%, 20대 10%, 30대 24%, 40대 30%, 50대 35%",감독 매들린 개빈,스토리가 탄탄하고 몰입하여 보게 되는 영화,1587
도그데이즈,96.0,"성별예매 분포: 남 39%, 여 61%","연령별예매 분포: 10대 3%, 20대 16%, 30대 26%, 40대 29%, 50대 27%","감독 김덕민, 김윤진, 윤여정, 김서형, 윤채나",배우연기가 메소드급인 감동적인 영화,7850
로봇 드림,98.0,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 1%, 20대 29%, 30대 36%, 40대 20%, 50대 13%",감독 파블로 베르헤르,스토리가 탄탄하고 감동적인 영화,3015
레트리뷰션,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 다니 델 라 토레, 하비에르 구티에레즈, 고야 톨레도, 루이스 토사",,0
외계+인,86.0,,,"감독 최동훈, 염정아, 김의성, 소지섭, 신정근",,0
붉은 돼지,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 미야자키 하야오, 아키오 오츠카, 오카무라 아케미, 토키코 카토",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
스파이더,92.0,,,"감독 샘 레이미, 커스틴 던스트, 토비 매과이어",영상미가 뛰어나고 몰입하여 보게 되는 영화,1264
데드맨,77.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 2%, 20대 15%, 30대 24%, 40대 28%, 50대 31%","감독 하준원, 이수경, 조진웅, 김희애",배우연기가 메소드급인 몰입하여 보게 되는 영화,5276
소풍,95.0,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 2%, 20대 11%, 30대 23%, 40대 26%, 50대 37%","감독 김용균, 박근형, 류승수, 김영옥, 나문희",배우연기가 메소드급인 감동적인 영화,3692
클럽 제로,74.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 1%, 20대 15%, 30대 30%, 40대 26%, 50대 28%","미아 와시코브스카, 감독 예시카 하우스너",배우연기가 메소드급인 몰입하여 보게 되는 영화,1338
아네모네,81.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 1%, 20대 7%, 30대 25%, 40대 31%, 50대 36%","감독 정하용, 이유준, 테리스 브라운, 박혜진, 박성진",배우연기가 메소드급인 몰입하여 보게 되는 영화,1288
아톰 새로운 시작,87.0,"성별예매 분포: 남 48%, 여 52%","연령별예매 분포: 10대 1%, 20대 4%, 30대 19%, 40대 49%, 50대 26%","감독 데이비드 보워스, 김소원, 조병규, 김강현",스토리가 탄탄하고 몰입하여 보게 되는 영화,176
검은 소년,86.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 2%, 20대 10%, 30대 24%, 40대 30%, 50대 34%","감독 서정원, 안지호, 안내상, 윤유선",배우연기가 메소드급인 몰입하여 보게 되는 영화,1328
더 커버넌트,98.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 2%, 20대 11%, 30대 27%, 40대 28%, 50대 32%","감독 가이 리치, 다르 살림, 안토니 스타, 제이크 질렌할",배우연기가 메소드급인 몰입하여 보게 되는 영화,5241
크레센도 반 클라이번 콩쿠르 실황,98.0,"성별예매 분포: 남 17%, 여 83%","연령별예매 분포: 10대 1%, 20대 11%, 30대 22%, 40대 29%, 50대 37%","감독 헤더 윌크, 임윤찬, 마린 알솝, 드미트리 초니, 안나 게뉴시네",OST가 명곡인 몰입하여 보게 되는 영화,350
두 세계 사이에서,98.0,"성별예매 분포: 남 48%, 여 52%","연령별예매 분포: 10대 0%, 20대 14%, 30대 29%, 40대 23%, 50대 33%","감독 엠마누엘 카레르, 줄리엣 비노쉬, 레아 카르네, 오드 뤼테, 루이즈 포시에카, 스티브 파파지아니스",배우연기가 메소드급인 몰입하여 보게 되는 영화,267
게이샤,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 롭 마샬, 유키 쿠도, 와타나베 켄, 야쿠쇼 코지, 장쯔이",영상미가 뛰어나고 몰입하여 보게 되는 영화,494
"타르콥스키, 기도하는 영혼",0.0,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 2%, 20대 29%, 30대 26%, 40대 17%, 50대 27%","안드레이 타르코프스키, 감독 안드레이 타르코프스키",감독연출가 훌륭하고 몰입하여 보게 되는 영화,58
사운드 오브 프리덤,96.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 2%, 20대 20%, 30대 27%, 40대 26%, 50대 24%","제임스 카비젤, 감독 알레한드로 고메즈 몬테베르드",스토리가 탄탄하고 몰입하여 보게 되는 영화,4194
다시,,,,"감독 정소영(1), 이승연(1), 김나운, 박용하, 이경영",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
K스쿨,0.0,"성별예매 분포: 남 64%, 여 36%","연령별예매 분포: 10대 4%, 20대 20%, 30대 33%, 40대 29%, 50대 13%","감독 박미경, 다원, 예나, 구슬이, 의연",OST가 명곡인 몰입하여 보게 되는 영화,24
멋대로 해라,89.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 0%, 20대 26%, 30대 31%, 40대 25%, 50대 18%","감독 미셸 하자나비시우스, 스테이시 마틴, 베레니스 베조, 루이 가렐",배우연기가 메소드급인 유쾌한 영화,275
바튼 아카데미,98.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 24%, 30대 35%, 40대 22%, 50대 18%","감독 알렉산더 페인, 도미닉 세사, 더바인 조이 랜돌프, 폴 지아마티",배우연기가 메소드급인 감동적인 영화,2458
메이 디셈버,88.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 0%, 20대 22%, 30대 33%, 40대 23%, 50대 22%","감독 토드 헤인즈, 찰스 멜튼, 나탈리 포트만, 줄리안 무어",배우연기가 메소드급인 몰입하여 보게 되는 영화,2736
레이징 그레이스,0.0,"성별예매 분포: 남 25%, 여 75%","연령별예매 분포: 10대 0%, 20대 50%, 30대 25%, 40대 25%, 50대 0%","감독 패리스 자실라, 데이비드 헤이먼, 제이든 페이지 보아디야, 맥스 에이겐만, 리앤 베스트",스토리가 탄탄하고 몰입하여 보게 되는 영화,64
스노우 퍼핀즈,88.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 2%, 20대 5%, 30대 21%, 40대 38%, 50대 34%","감독 네스토르 F. 데니스, 김대중, 조니 뎁",영상미가 뛰어나고 유쾌한 영화,1641
오키쿠와 세계,95.0,"성별예매 분포: 남 57%, 여 43%","연령별예매 분포: 10대 1%, 20대 18%, 30대 31%, 40대 24%, 50대 25%","감독 사카모토 준지, 이시바시 렌지, 사토 코이치, 마키 쿠로도, 쿠로키 하루",배우연기가 메소드급인 몰입하여 보게 되는 영화,497
백야행,0.0,,,"감독 박신우, 한석규, 이민정, 고수, 손예진",배우연기가 메소드급인 몰입하여 보게 되는 영화,771
노웨어,,,,"감독 샘 테일러 우드, 크리스틴 스콧 토마스, 애런 존슨, 앤 마리 더프, 토마스 브로디 생스터",배우연기가 메소드급인 몰입하여 보게 되는 영화,17
여기는 아미코,87.0,"성별예매 분포: 남 54%, 여 46%","연령별예매 분포: 10대 2%, 20대 21%, 30대 33%, 40대 23%, 50대 22%","감독 모리이 유스케, 오사와 카나, 이우라 아라타, 오노 마치코",배우연기가 메소드급인 몰입하여 보게 되는 영화,426
시간의 춤,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%",감독 송일곤,배우연기가 메소드급인 몰입하여 보게 되는 영화,2
가여운 것들,90.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 0%, 20대 30%, 30대 34%, 40대 19%, 50대 17%","감독 요르고스 란티모스, 엠마 스톤, 마크 러팔로, 윌렘 데포",배우연기가 메소드급인 몰입하여 보게 되는 영화,5052
엑스,0.0,,,"감독 루이스 리터리어, 제이슨 스타뎀, 제이 에이머, 앰버 발레타, 헌터 클래리",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
파묘,95.0,,,"감독 장재현, 최민식, 이도현, 김고은, 유해진",,0
아이엠 티라노,92.0,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 2%, 20대 3%, 30대 30%, 40대 45%, 50대 20%","감독 시린, 감독 샹밍",영상미가 뛰어나고 몰입하여 보게 되는 영화,2441
월레스와 그로밋 더 클래식 컬렉션,98.0,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 3%, 20대 35%, 30대 41%, 40대 14%, 50대 8%",감독 닉 파크,영상미가 뛰어나고 유쾌한 영화,1502
조폭인 내가 고등학생이 되었습니다,0.0,"성별예매 분포: 남 20%, 여 80%","연령별예매 분포: 10대 5%, 20대 40%, 30대 32%, 40대 14%, 50대 9%",,배우연기가 메소드급인 기분이 좋아지는 영화,43
애국소녀,0.0,"성별예매 분포: 남 10%, 여 90%","연령별예매 분포: 10대 0%, 20대 42%, 30대 39%, 40대 11%, 50대 8%",감독 남아름,배우연기가 메소드급인 몰입하여 보게 되는 영화,1
천국의 우편배달부,0.0,,,"감독 이형민, 김재중, 한효주",영상미가 뛰어나고 감동적인 영화,1518
19-Nineteen,0.0,,,"감독 장용우, 탑, 이승현(2), 허이재",OST가 명곡인 감동적인 영화,0
패스트 라이브즈,89.0,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 2%, 20대 27%, 30대 32%, 40대 20%, 50대 19%","감독 셀린 송, 그레타 리, 유태오, 존 마가로",영상미가 뛰어나고 공감되는 영화,5610
2012,92.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 롤랜드 에머리히, 탠디 뉴튼, 존 쿠삭, 아만다 피트",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
더 문,94.0,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 1%, 20대 2%, 30대 46%, 40대 48%, 50대 3%","감독 엔리크 가토, 이지현, 신경선, 서원석, 탁원제",스토리가 탄탄하고 공감되는 영화,447
래더 49,,,,"감독 제이 러셀, 존 트라볼타, 케빈 다니엘스, 모리스 체스트넛, 야신다 배러트, 호아킨 피닉스",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
가문의 영광,0.0,,,"감독 정용기, 신현준, 탁재훈, 김수미, 임형준",배우연기가 메소드급인 유쾌한 영화,912
트릭스,,,,"감독 안제이 자크모프스키, 아벨리나 발렌지아크, 데미안 울",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
랜드 오브 배드,96.0,"성별예매 분포: 남 58%, 여 42%","연령별예매 분포: 10대 1%, 20대 10%, 30대 24%, 40대 28%, 50대 36%","감독 윌리엄 유뱅크, 러셀 크로우, 리키 휘틀, 마일로 벤티밀리아, 루크 헴스워스, 리암 헴스워스",배우연기가 메소드급인 몰입하여 보게 되는 영화,1811
벙커 게임,0.0,"성별예매 분포: 남 48%, 여 52%","연령별예매 분포: 10대 0%, 20대 14%, 30대 19%, 40대 48%, 50대 19%","감독 로베르토 자차라, 마크 라이더, 가이아 와이즈",배우연기가 메소드급인 몰입하여 보게 되는 영화,6
마담 웹,65.0,"성별예매 분포: 남 67%, 여 33%","연령별예매 분포: 10대 2%, 20대 17%, 30대 28%, 40대 29%, 50대 24%","감독 S.J. 클락슨, 타하르 라힘, 이사벨라 메르세드, 셀레스트 오코너, 시드니 스위니",배우연기가 메소드급인 몰입하여 보게 되는 영화,1076
하우 투 비,,,,"감독 올리버 어빙, 로버트 패틴슨, 레베카 피전",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
당신이 잠든 사이,0.0,,,"탁재훈, 예지원",배우연기가 메소드급인 몰입하여 보게 되는 영화,70
왓츠 러브,88.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 1%, 20대 10%, 30대 27%, 40대 28%, 50대 33%","감독 셰카르 카푸르, 샤자드 라티프, 릴리 제임스, 엠마 톰슨",배우연기가 메소드급인 유쾌한 영화,1552
댓글부대,83.0,,"연령별예매 분포: 10대 5%, 20대 32%, 30대 25%, 40대 19%, 50대 18%","감독 안국진, 김동휘, 홍경, 손석구, 김성철",배우연기가 메소드급인 현실감 있는 영화,0
목스박,0.0,"성별예매 분포: 남 58%, 여 42%","연령별예매 분포: 10대 2%, 20대 16%, 30대 32%, 40대 31%, 50대 18%",,배우연기가 메소드급인 기분이 좋아지는 영화,71
