영화제목,에그지수,관람포인트,실관람평개수,감독1,감독2,감독3,감독4,감독5,배우1,배우2,배우3,배우4,배우5,배우6,남자,여자,10대,20대,30대,40대,50대
미드소마,76.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,5287,아리 애스터,,,,,윌 폴터,윌리엄 잭슨 하퍼,플로렌스 퓨,잭 레이너,,,41,59,0,49,30,13,8
나이트메어 시네마,53.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,475,조 단테,기타무라 류헤이,믹 개리스,데이빗 슬레이드,,리차드 체임벌린,안나베스 기쉬,,,,,57,43,0,33,31,25,11
난폭한 기록,69.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,339,하원준,,,,,정의갑,서은아,류덕환,정두홍,,,70,30,0,14,31,34,21
주전장,99.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,1374,미키 데자키,,,,,,,,,,,39,61,1,21,33,26,19
굿바이 썸머,69.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,243,박주영,,,,,정제원,김보라,,,,,31,69,14,45,22,12,8
황혼에서 새벽까지,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,317,로버트 로드리게즈,,,,,줄리엣 루이스,쿠엔틴 타란티노,조지 클루니,셀마 헤이엑,,,53,47,0,33,34,23,10
데드 돈 다이,75.0,배우연기가 메소드급인 유쾌한 영화,2065,짐 자무쉬,,,,,틸다 스윈튼,스티브 부세미,대니 글로버,로지 페레즈,,,46,54,1,35,34,20,10
수퍼 디스코,99.0,OST가 명곡인 몰입하여 보게 되는 영화,59,이주호,,,,,나잠 수,JJ핫산,고건혁,지,,,50,50,3,31,39,18,9
돈 워리,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1925,구스 반 산트,,,,,우도 키에르,마크 웨버,조나 힐,호아킨 피닉스,,,40,60,1,24,37,23,15
김복동,99.0,스토리가 탄탄하고 감동적인 영화,3383,송원근,,,,,김복동,한지민,,,,,24,76,2,36,27,24,12
이타미 준의 바다,93.0,영상미가 뛰어나고 영감을 주는 영화,1427,정다운,,,,,쿠마 켄고,양방언,유이화,반 시게루,,,36,64,0,16,34,27,23
그녀들을 도와줘,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,394,앤드류 부자스키,,,,,레지나 홀,딜런 젤룰라,아만다 미칼카,샤이나 맥헤일,,,44,56,1,31,32,22,14
공포체험단 곤지암편,79.0,배우연기가 메소드급인 오싹하게 무서운 영화,156,정범식,,,,,박지현,위하준,유제윤,문예원,,,44,56,4,43,38,10,5
지구 최후의 밤,84.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1160,비간,,,,,황각,탕웨이,,,,,53,47,2,36,32,18,12
레드&매니페스토,83.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,66,율리안 로제펠트,,,,,케이트 블란쳇,,,,,,28,72,2,37,33,18,11
나는 예수님이 싫다,87.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,247,오쿠야마 히로시,,,,,채드 멀레인,오오쿠마 리키,사토 유라,,,,53,47,1,24,35,25,16
호크니,89.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,833,랜달 라이트,,,,,데이비드 호크니,,,,,,26,74,1,20,34,22,23
수상한 교수,86.0,배우연기가 메소드급인 감동적인 영화,733,웨인 로버츠,,,,,론 리빙스턴,조이 도이치,대니 휴스턴,로즈마리 드윗,,,40,60,1,24,29,21,25
룩 어웨이,79.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,218,아사프 베른슈타인,,,,,인디아 아이슬리,제이슨 아이삭스,미라 소르비노,,,,63,37,3,28,30,26,12
바우하우스,76.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,219,토마스 틸쉬,닐스 볼브링커,,,,토어스텐 블루메,반 보 레-멘첼,후베르트 클룸프너,,,,37,63,0,23,33,21,22
사이공,98.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2720,브렛 설리반,,,,,앨리스태어 브래머,존 존 브리온스,홍광호,에바 노블자다,,,28,72,2,30,36,22,11
파문,99.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,18,오기가미 나오코,,,,,,,,,,,19,81,0,33,39,16,12
지구공룡대탐험,81.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,296,데이빗 크렌츠,,,,,김보나,강은애,,,,,32,68,0,2,51,43,3
나만 없어 고양이,87.0,영상미가 뛰어나고 감동적인 영화,579,신혜진,복운석,,,,남연우,권수정,김기천,,,,33,67,2,24,40,24,11
블루노트 레코드,94.0,OST가 명곡인 영감을 주는 영화,513,소피 허버,,,,,노라 존스,웨인 쇼터,루디 반 겔더,로버트 글래스퍼,,,41,59,1,21,36,23,19
링0 - 버스데이,70.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,33,츠루타 노리오,,,,,다나베 세이치,다나카 요시코,아소 구미코,나카마 유키에,,,53,48,3,23,25,25,25
디터 람스,94.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,169,게리 허스트윗,,,,,디터 람스,,,,,,37,63,1,20,40,23,17
컨덕트,53.0,배우연기가 메소드급인 스트레스가 해소되는 영화,4537,시모사와 신타로,,,,,알 파치노,조쉬 더하멜,이병헌,안소니 홉킨스,,,43,57,1,32,32,22,14
부!,89.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,883,타카하시 와타루,,,,,,,,,,,33,67,2,9,46,41,2
열여섯의 봄,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,245,바이슈에,,,,,순양,탕지아원,황야오,,,,51,49,1,31,34,22,12
디어 마이 프렌드,93.0,배우연기가 메소드급인 감동적인 영화,1428,피터 허칭즈,,,,,켄 정,니나 도브레브,메이지 윌리암스,에이사 버터필드,,,30,70,5,35,27,21,11
